,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
86,86,1555.5307349999998,2023-10-12 03:09:26.815615,2023-10-12 03:11:34.722319,0 days 00:02:07.906704,relu,128,0.1,5.242781120317729e-07,0.9,0.999,0.0026085430508378045,0.6636695031336546,0.5,10,512,small,256,0.8477298763755083,PRUNED
87,87,2226.1653017999997,2023-10-12 03:11:34.723016,2023-10-12 03:19:02.193512,0 days 00:07:27.470496,relu,128,0.4,9.068058368789184e-06,0.9,0.999,0.007261728169028515,0.48276079206966965,0.6,10,512,small,256,0.2971190982199386,COMPLETE
88,88,2733.4703132000004,2023-10-12 03:19:02.194637,2023-10-12 07:04:19.787352,0 days 03:45:17.592715,relu,8,0.1,6.609911441412869e-06,0.9,0.999,0.002689022990466266,-0.5474621078456287,0.6,20,512,medium,256,0.43912950708571263,COMPLETE
89,89,698.1288218000001,2023-10-12 03:44:19.240641,2023-10-12 04:15:28.819109,0 days 00:31:09.578468,relu,8,0.3,1.2252837904402443e-05,0.92,0.999,0.0070558060682268916,-0.9385350156196611,0.6,10,512,medium,256,0.7096897673919965,PRUNED
90,90,2007.4046604,2023-10-12 04:15:28.819993,2023-10-12 04:17:30.003617,0 days 00:02:01.183624,relu,128,0.4,1.0046507060604015e-06,0.9,0.999,0.003590638806097635,-1.7700625898506341,0.8,10,512,small,256,0.6347058806947846,PRUNED
91,91,2235.004463,2023-10-12 04:17:30.004302,2023-10-12 04:52:57.130866,0 days 00:35:27.126564,relu,16,0.4,0.0007419436709597275,0.92,0.999,0.0007901195386980365,0.03551965035322269,0.5,10,512,small,256,0.22580403685212677,COMPLETE
92,92,327.2912832,2023-10-12 04:52:57.132155,2023-10-12 05:24:16.750721,0 days 00:31:19.618566,relu,512,0.1,0.05657442851586994,0.9,0.999,0.003978071740999409,-2.908215212748418,0.6,10,8,medium,256,0.8478734166262498,PRUNED
93,93,440.9453252,2023-10-12 05:24:16.751693,2023-10-12 05:35:02.789567,0 days 00:10:46.037874,relu,16,0.3,1.9342892836929947e-05,1.0,0.95,0.001360108457890033,0.6035717886455414,0.5,10,512,small,256,0.36185999360814747,PRUNED
94,94,273.35188439999996,2023-10-12 05:35:02.790305,2023-10-12 05:45:06.750098,0 days 00:10:03.959793,relu,16,0.1,4.873713556984799e-07,0.98,0.999,5.048367077623795e-05,0.9499292218151899,0.5,10,512,small,256,0.5134813322143948,PRUNED
95,95,284.66178920000004,2023-10-12 05:45:06.750777,2023-10-12 06:04:46.402758,0 days 00:19:39.651981,relu,8,0.2,3.495356968467168e-07,0.8,0.9,0.0001701135342035359,0.001313412578930695,0.3,10,1024,small,32,0.8662129246249486,PRUNED
96,96,447.820579,2023-10-12 06:04:46.403486,2023-10-12 06:14:56.911086,0 days 00:10:10.507600,relu,16,0.1,3.1126778625797977e-06,0.92,0.999,0.0004850153067206856,0.525886280456724,5.0,10,512,small,256,0.4138162721571858,PRUNED
97,97,374.1563418,2023-10-12 06:14:56.911971,2023-10-12 06:23:32.336155,0 days 00:08:35.424184,relu,128,0.3,5.938577238486229e-07,0.9,0.9999,4.9364485751732075e-05,0.13081692455425575,0.5,10,512,medium,256,0.2735545170942688,PRUNED
98,98,395.8424994,2023-10-12 06:23:32.337118,2023-10-12 06:26:51.302587,0 days 00:03:18.965469,relu,128,0.3,1.2095620511786722e-06,0.9,0.95,0.00034721571948937997,0.7205388427176764,0.5,20,512,small,256,0.2448064089996695,PRUNED
99,99,246.68488939999997,2023-10-12 06:26:51.303439,2023-10-12 06:37:32.715436,0 days 00:10:41.411997,relu,16,0.1,2.4868149979903142e-06,0.92,0.999,0.06837397089022777,-0.27162519143444563,0.5,10,512,small,256,0.21588979019360918,PRUNED
100,100,354.4148435999999,2023-10-12 06:37:32.716167,2023-10-12 06:45:08.649785,0 days 00:07:35.933618,relu,32,0.4,0.0031408132546809223,0.8,0.999,0.004249397162258011,-3.8136009000343476,0.6,10,2048,medium,256,0.9312026377565128,PRUNED
101,101,2174.3810372000003,2023-10-12 06:45:08.650731,2023-10-12 07:38:44.952063,0 days 00:53:36.301332,relu,16,0.1,2.7158215014794262e-05,0.92,0.999,0.0012682149464190507,-0.1365878485067037,0.5,10,512,medium,256,0.6008077336214581,COMPLETE
